150,201613020,201613600,10,590,1010,0,0,1,1,3,0.580
90,213988000,213989370,10,1380,1410,0,0,1,1,3,0.605
80,276183160,276184810,10,1660,1570,0,0,1,1,3,0.625
310,219438070,219441260,10,3200,2910,0,0,0,0,3,0.593
300,219438070,219441260,10,3200,2910,0,0,0,0,3,0.595
80,229236640,229238160,10,1530,1570,0,0,1,1,3,0.614
210,316562340,316563900,10,1570,1470,0,0,1,1,3,0.623
120,276956360,276958350,10,2000,1980,0,0,1,1,3,0.633
80,36715650,36717520,10,1880,1930,0,0,1,1,2,0.593
170,32023800,32027200,10,3410,3420,0,0,1,1,1,0.574
110,35880150,35883090,10,2950,2940,0,0,1,1,1,0.529
60,45810080,45812670,10,2600,2580,0,0,0,0,1,0.500
80,46146190,46148400,10,2220,2210,0,0,1,0,2,0.546
100,64619870,64622580,10,2720,2670,0,0,1,1,1,0.494
50,76355600,76357520,10,1930,1930,0,0,1,1,2,0.578
70,76609630,76612210,10,2590,2580,0,0,1,1,1,0.479
70,82460260,82463060,10,2810,2800,0,0,1,1,1,0.503
100,97194230,97195160,10,940,930,0,0,1,1,2,0.564
100,132194960,132196430,10,1480,1470,0,0,1,0,3,0.520
100,164962860,164967660,10,4810,4620,0,0,0,0,3,0.510
50,165743720,165746560,10,2850,2640,0,0,1,1,3,0.586
70,200165540,200169490,10,3960,4050,0,0,1,1,3,0.573
150,218586850,218589250,10,2410,2500,0,0,1,1,3,0.629
70,229733040,229735130,10,2100,1850,0,0,1,1,3,0.621
50,285973860,285974710,10,860,850,0,0,1,1,3,0.604
270,308858170,308862170,10,4010,3660,0,0,0,0,3,0.601
140,314033860,314038810,10,4960,4590,0,0,0,0,3,0.585
100,316914960,316916790,10,1840,1910,0,0,1,1,3,0.629
80,334404400,334408400,10,4010,3820,0,0,1,0,3,0.608
160,362623440,362626780,10,3350,2950,0,0,0,0,3,0.617
70,368136540,368137450,10,920,980,0,0,1,0,3,0.607
70,370131320,370132880,10,1570,1560,0,0,0,1,3,0.614
370,68840510,68841930,10,1430,1720,0,0,1,1,3,0.463
80,36715420,36717560,10,2150,2190,0,0,1,1,2,0.571
160,96252600,96257260,10,4670,4590,0,0,0,0,1,0.561
310,203611290,203614230,10,2950,2640,0,0,0,0,3,0.591
80,43530530,43533100,10,2580,2600,0,0,1,0,1,0.491
120,127477380,127481000,10,3630,3640,0,0,0,1,3,0.502
200,126647560,126651300,10,3750,3780,0,0,1,1,3,0.498
70,136298390,136300300,10,1920,2260,0,0,1,1,3,0.540
150,212482710,212485860,10,3160,3160,0,0,1,1,3,0.616
50,96024170,96026090,10,1930,1930,0,0,1,1,3,0.451
150,201613030,201616210,10,3190,3550,0,0,1,1,3,0.603
70,10801980,10803740,10,1770,1770,0,0,1,1,2,0.605
120,136298390,136300300,10,1920,2260,0,0,1,1,3,0.548
110,127382110,127383510,10,1410,1350,0,0,1,0,3,0.510
110,127477380,127481000,10,3630,3640,0,0,0,1,3,0.501
110,127492530,127496440,10,3920,3490,0,0,0,0,3,0.498
50,264698430,264702030,10,3610,3490,0,0,0,0,3,0.604
120,126647560,126651300,10,3750,3780,0,0,1,1,3,0.495
100,136298390,136300300,10,1920,2260,0,0,1,1,3,0.545
100,126647560,126651300,10,3750,3780,0,0,1,1,3,0.494
